,city,state,gender,employment,owns_coffee_machine,owns_car,month,year,year_dob,beverage_preference,bought_coffee
1360,Inverness,IL,female,full-time,yes,True,7,2019,1981,coffee,False
1361,Mokena,IL,female,part-time,yes,True,5,2018,1975,coffee,False
1362,West Chicago,IL,female,student,no,True,5,2019,1995,wine,False
1363,Elgin,IL,male,part-time,no,True,9,2019,1996,tea,False
1364,Barrington,IL,female,full-time,no,True,2,2019,1986,coffee,False
1365,Warrenville,IL,male,full-time,yes,True,12,2018,1975,beer,False
1366,Algonquin,IL,male,unempolyed,no,True,5,2019,1990,coffee,True
1367,West Dundee,IL,female,full-time,i don't know,True,9,2018,1977,coffee,False
1368,Willowbrook,IL,female,unempolyed,no,True,8,2019,1983,coffee,False
1369,West Chicago,IL,male,unempolyed,no,True,9,2018,1975,beer,False
1370,West Chicago,IL,female,full-time,yes,True,8,2018,1988,wine,False
1371,Minooka,IL,female,student,no,True,12,2019,1990,coffee,False
1372,Algonquin,IL,male,part-time,no,True,2,2019,1995,beer,False
1373,Algonquin,IL,female,student,no,True,9,2019,1990,soda,False
1374,Aurora,IL,male,full-time,no,True,12,2018,1972,beer,False
1375,Glen Ellyn,IL,male,unempolyed,yes,True,7,2018,1979,coffee,False
1376,Carol Stream,IL,female,unempolyed,no,True,11,2019,1991,coffee,False
1377,Aurora,IL,male,full-time,yes,True,9,2018,1970,coffee,False
1378,Bolingbrook,IL,female,full-time,yes,True,3,2018,1980,soda,False
1379,St. Charles,IL,female,retired,no,True,5,2018,1974,coffee,False
1380,West Chicago,IL,female,student,no,True,9,2018,1985,wine,False
1381,Batavia,IL,female,student,no,True,7,2019,1996,tea,False
1382,Algonquin,IL,male,retired,no,True,8,2018,1981,soda,False
1383,Streamwood,IL,female,student,yes,True,1,2019,1988,tea,True
1384,Bolingbrook,IL,male,full-time,yes,True,9,2018,1969,beer,False
1385,Minooka,IL,female,unempolyed,no,True,7,2018,1975,wine,False
1386,Oswego,IL,female,retired,yes,True,6,2019,1985,wine,False
1387,Romeoville,IL,male,student,yes,True,12,2018,1994,coffee,False
1388,Carol Stream,IL,male,unempolyed,no,True,10,2019,1990,beer,False
1389,Bolingbrook,IL,male,part-time,yes,True,8,2018,1977,coffee,False
1390,St. Charles,IL,male,retired,yes,True,6,2019,1990,beer,False
1391,Willowbrook,IL,female,full-time,no,True,2,2019,1995,tea,False
1392,Streamwood,IL,male,retired,yes,True,6,2018,1974,beer,False
1393,Naperville,IL,male,full-time,yes,True,12,2019,1986,tea,False
1394,Elgin,IL,female,part-time,yes,True,2,2018,1976,coffee,False
1395,Chicago,IL,female,part-time,i don't know,False,7,2018,1977,wine,False
1396,Oswego,IL,female,full-time,yes,True,4,2018,1976,wine,False
1397,Oswego,IL,female,full-time,yes,True,2,2019,1988,tea,False
1398,Mokena,IL,female,full-time,yes,True,3,2019,1990,wine,False
1399,Glen Ellyn,IL,female,full-time,yes,True,7,2019,1992,tea,False
1400,Barrington,IL,female,student,yes,True,6,2019,1993,wine,True
1401,Oswego,IL,male,unempolyed,no,True,4,2018,1980,coffee,False
1402,Aurora,IL,female,full-time,yes,True,10,2018,1981,coffee,False
1403,Streamwood,IL,female,student,yes,True,5,2019,1993,coffee,False
1404,Algonquin,IL,male,student,i don't know,True,2,2019,1988,coffee,False
1405,Aurora,IL,male,full-time,no,True,5,2018,1975,coffee,False
1406,Mokena,IL,male,retired,yes,True,3,2019,1987,coffee,False
1407,Aurora,IL,female,full-time,yes,True,3,2019,1991,tea,False
1408,Naperville,IL,male,unempolyed,yes,True,10,2018,1983,coffee,False
1409,Bolingbrook,IL,female,full-time,yes,True,6,2018,1976,wine,False
1410,Plainfield,IL,male,unempolyed,yes,True,9,2018,1980,coffee,False
1411,Willowbrook,IL,male,full-time,no,True,5,2018,1977,coffee,False
1412,Naperville,IL,female,full-time,no,True,10,2019,1988,soda,False
1413,Bolingbrook,IL,male,full-time,i don't know,True,7,2018,1972,coffee,False
1414,Wheaton,IL,female,full-time,yes,True,11,2019,1991,wine,False
1415,Wheaton,IL,male,part-time,no,True,7,2019,1985,beer,False
1416,West Dundee,IL,female,full-time,yes,True,10,2019,1993,tea,False
1417,Aurora,IL,male,full-time,i don't know,True,4,2019,1987,coffee,False
1418,Streamwood,IL,female,student,no,True,8,2019,1992,tea,False
1419,Chicago,IL,female,full-time,no,False,7,2019,1985,soda,False
1420,West Dundee,IL,male,unempolyed,no,True,11,2018,1978,beer,False
1421,Warrenville,IL,male,unempolyed,no,True,12,2018,1981,beer,False
1422,Warrenville,IL,female,unempolyed,yes,True,12,2018,1973,wine,False
1423,Aurora,IL,female,full-time,no,True,10,2018,1978,coffee,False
1424,Batavia,IL,female,unempolyed,no,True,1,2019,1989,coffee,False
1425,Bolingbrook,IL,male,full-time,yes,True,3,2018,1965,coffee,False
1426,St. Charles,IL,female,part-time,yes,False,6,2018,1980,coffee,False
1427,West Chicago,IL,male,full-time,yes,True,1,2019,1991,beer,False
1428,Romeoville,IL,male,part-time,i don't know,True,4,2018,1974,coffee,False
1429,Oswego,IL,male,full-time,yes,True,5,2018,1982,coffee,False
1430,Warrenville,IL,female,part-time,no,True,3,2019,1993,tea,False
1431,Willowbrook,IL,female,full-time,yes,True,8,2019,1983,wine,False
1432,Algonquin,IL,male,full-time,no,True,7,2018,1978,coffee,False
1433,Chicago,IL,male,part-time,yes,False,2,2019,1994,coffee,False
1434,Algonquin,IL,female,student,yes,True,9,2019,1991,coffee,False
1435,St. Charles,IL,male,unempolyed,yes,True,11,2018,1989,coffee,False
1436,Elgin,IL,male,part-time,no,True,11,2018,1979,coffee,False
1437,Aurora,IL,female,full-time,no,False,1,2018,1978,coffee,False
1438,Chicago,IL,female,full-time,i don't know,False,3,2018,1985,coffee,False
1440,Plainfield,IL,male,part-time,yes,True,8,2018,1979,coffee,False
1441,Barrington,IL,male,student,no,True,3,2019,1990,coffee,False
1442,Streamwood,IL,male,unempolyed,yes,True,12,2019,1987,coffee,False
1443,Streamwood,IL,female,full-time,yes,True,5,2018,1975,tea,False
1444,Aurora,IL,male,unempolyed,no,True,4,2019,1985,coffee,False
1445,Romeoville,IL,female,part-time,yes,True,9,2018,1985,wine,False
1446,Willowbrook,IL,female,full-time,yes,True,1,2018,1976,coffee,False
1447,Plainfield,IL,female,full-time,yes,True,12,2019,1986,wine,True
1448,Romeoville,IL,female,full-time,yes,False,4,2019,1987,coffee,False
1449,Hoffman Estates,IL,female,full-time,no,True,3,2018,1968,tea,False
1451,Streamwood,IL,female,student,no,True,4,2019,1996,soda,False
1452,West Dundee,IL,female,unempolyed,yes,True,7,2018,1969,coffee,False
1453,Bolingbrook,IL,female,full-time,yes,True,2,2019,1987,tea,False
1454,Warrenville,IL,male,full-time,no,True,1,2018,1971,coffee,False
1455,Hoffman Estates,IL,female,full-time,no,True,12,2018,1988,coffee,False
1456,St. Charles,IL,male,part-time,yes,True,11,2018,1977,beer,False
1457,Batavia,IL,male,unempolyed,no,True,12,2018,1985,coffee,False
1458,West Chicago,IL,male,full-time,no,True,10,2019,1989,beer,False
1459,Palatine,IL,female,unempolyed,no,True,3,2019,1990,beer,False
1461,Plainfield,IL,male,unempolyed,yes,True,5,2019,1986,coffee,False
1462,Schaumburg,IL,male,student,yes,False,2,2019,1986,tea,False
1463,Algonquin,IL,male,unempolyed,yes,True,2,2018,1981,coffee,False
1464,Chicago,IL,male,unempolyed,no,False,5,2019,1990,soda,False
1465,Aurora,IL,female,full-time,yes,True,3,2018,1973,coffee,False
1466,Willowbrook,IL,female,unempolyed,yes,True,5,2019,1983,coffee,False
1467,Minooka,IL,female,part-time,yes,True,6,2018,1976,tea,False
1468,Aurora,IL,female,retired,yes,True,11,2018,1979,tea,False
1469,Schaumburg,IL,female,unempolyed,no,True,10,2018,1972,tea,False
1470,Carol Stream,IL,female,part-time,no,False,6,2019,1993,beer,False
1471,Barrington,IL,female,full-time,yes,True,4,2018,1975,wine,False
1472,Elgin,IL,female,part-time,yes,True,1,2018,1977,tea,False
1473,Streamwood,IL,female,unempolyed,yes,True,6,2019,1989,coffee,False
1474,Glen Ellyn,IL,female,student,yes,True,6,2018,1984,tea,False
1475,St. Charles,IL,male,full-time,yes,True,6,2019,1989,tea,False
1476,Deer Park,IL,female,unempolyed,yes,True,7,2018,1975,coffee,False
1477,Warrenville,IL,male,full-time,no,True,9,2018,1979,coffee,False
1478,Batavia,IL,male,full-time,yes,True,4,2019,1991,beer,False
1479,Romeoville,IL,female,full-time,no,True,5,2019,1982,tea,False
1480,Glen Ellyn,IL,female,full-time,no,False,1,2018,1982,wine,False
1481,Glen Ellyn,IL,male,full-time,yes,True,1,2018,1977,coffee,False
1482,Schaumburg,IL,female,full-time,yes,True,8,2018,1969,coffee,False
1483,Batavia,IL,male,retired,no,True,2,2019,1987,coffee,False
1484,St. Charles,IL,male,student,no,True,7,2018,1987,beer,False
1485,Wheaton,IL,female,full-time,i don't know,True,9,2018,1974,tea,False
1486,Bolingbrook,IL,female,unempolyed,no,True,2,2018,1977,coffee,False
1487,Warrenville,IL,male,full-time,yes,True,9,2018,1979,beer,False
1488,Palatine,IL,male,part-time,yes,True,1,2019,1992,coffee,False
1489,St. Charles,IL,male,student,no,True,9,2019,1992,coffee,False
1490,Palatine,IL,female,retired,yes,True,4,2019,1980,coffee,False
1491,Deer Park,IL,male,unempolyed,yes,False,11,2018,1977,beer,False
1492,Willowbrook,IL,male,full-time,yes,True,4,2019,1982,coffee,False
1493,Elgin,IL,female,unempolyed,no,True,8,2019,1984,wine,True
1494,Warrenville,IL,female,student,yes,True,3,2019,1993,coffee,False
1495,Warrenville,IL,female,full-time,yes,True,7,2019,1984,coffee,True
1496,St. Charles,IL,male,full-time,no,True,5,2018,1980,coffee,False
1497,Batavia,IL,female,full-time,no,True,6,2018,1977,coffee,False
1498,Chicago,IL,male,unempolyed,yes,False,2,2019,1986,coffee,False
1499,West Dundee,IL,male,part-time,yes,True,9,2019,1984,soda,False
1500,Minooka,IL,male,unempolyed,yes,True,12,2018,1977,beer,False
1501,Algonquin,IL,female,unempolyed,no,True,3,2019,1994,wine,False
1502,Mokena,IL,female,full-time,no,True,5,2019,1984,coffee,True
1503,Minooka,IL,male,part-time,yes,True,4,2018,1985,coffee,False
1504,Oswego,IL,female,student,no,True,1,2019,1991,coffee,False
1505,St. Charles,IL,male,unempolyed,yes,True,6,2018,1983,beer,False
1506,Romeoville,IL,male,full-time,yes,True,11,2018,1971,coffee,False
1507,Chicago,IL,male,full-time,no,False,6,2018,1980,coffee,False
1508,Glen Ellyn,IL,female,full-time,no,True,5,2019,1986,coffee,False
1509,Carol Stream,IL,female,full-time,yes,True,10,2018,1981,tea,False
1510,Romeoville,IL,male,full-time,i don't know,True,5,2019,1991,coffee,False
1511,Carol Stream,IL,female,full-time,yes,True,7,2019,1989,coffee,False
1512,Schaumburg,IL,female,full-time,yes,True,10,2018,1982,coffee,False
1513,Wheaton,IL,male,part-time,yes,True,9,2019,1988,coffee,False
1514,Palatine,IL,female,full-time,yes,True,1,2019,1991,coffee,False
1515,Wheaton,IL,female,unempolyed,no,True,3,2018,1971,wine,False
1516,West Chicago,IL,female,student,yes,True,7,2018,1988,tea,False
1517,Naperville,IL,male,unempolyed,yes,True,8,2018,1976,beer,False
1518,Aurora,IL,female,student,yes,True,5,2019,1983,coffee,True
1519,West Chicago,IL,female,unempolyed,yes,True,5,2019,1983,wine,False
1520,Streamwood,IL,female,full-time,yes,True,11,2019,1985,coffee,True
1521,West Dundee,IL,male,unempolyed,yes,True,3,2018,1985,beer,False
1522,Warrenville,IL,male,full-time,yes,True,5,2018,1971,coffee,False
1523,West Chicago,IL,female,full-time,yes,True,8,2018,1977,coffee,False
1524,Aurora,IL,male,full-time,i don't know,True,6,2019,1985,beer,False
1525,Naperville,IL,female,unempolyed,yes,True,11,2019,1992,coffee,False
1526,Willowbrook,IL,female,unempolyed,yes,True,2,2018,1975,tea,False
1527,Glen Ellyn,IL,female,unempolyed,yes,False,5,2018,1973,wine,False
1528,Palatine,IL,male,full-time,yes,True,6,2019,1989,wine,False
1529,Elgin,IL,male,full-time,no,True,5,2018,1979,beer,False
1530,Batavia,IL,female,unempolyed,no,True,6,2019,1987,coffee,False
1531,West Dundee,IL,male,unempolyed,yes,True,3,2019,1985,tea,False
1532,Batavia,IL,male,unempolyed,no,True,4,2019,1993,soda,False
1533,Inverness,IL,male,full-time,no,True,5,2019,1991,coffee,False
1534,West Chicago,IL,female,full-time,yes,True,9,2019,1990,coffee,False
1535,Minooka,IL,male,unempolyed,yes,True,4,2019,1989,coffee,False
1536,Warrenville,IL,male,student,yes,True,7,2019,1981,coffee,False
1537,Inverness,IL,male,unempolyed,yes,True,3,2019,1996,coffee,False
1538,Bolingbrook,IL,male,student,yes,True,8,2019,1993,beer,False
1539,Oswego,IL,male,full-time,yes,True,4,2019,1987,coffee,False
1540,Romeoville,IL,male,full-time,yes,False,10,2018,1974,coffee,False
1542,Hoffman Estates,IL,male,full-time,yes,False,7,2018,1975,beer,False
1543,Deer Park,IL,male,unempolyed,yes,True,2,2019,1990,soda,False
1544,West Chicago,IL,female,full-time,yes,True,3,2019,1986,tea,False
1545,Streamwood,IL,female,full-time,no,True,10,2018,1983,coffee,False
1546,St. Charles,IL,female,unempolyed,yes,True,10,2018,1978,coffee,False
1547,Glen Ellyn,IL,male,retired,yes,False,9,2018,1986,soda,False
1548,Elgin,IL,male,full-time,yes,True,5,2018,1980,beer,False
1549,Mokena,IL,male,full-time,no,True,6,2019,1983,coffee,False
1550,West Dundee,IL,female,student,no,True,11,2019,1999,coffee,False
1551,Mokena,IL,male,part-time,no,True,9,2019,1992,coffee,False
1552,Elgin,IL,female,full-time,yes,True,2,2018,1980,tea,False
1553,Carol Stream,IL,male,full-time,yes,True,3,2019,1991,tea,False
1554,Hoffman Estates,IL,female,full-time,no,True,2,2018,1979,coffee,False
1555,Oswego,IL,male,full-time,yes,True,5,2018,1972,coffee,False
1556,Romeoville,IL,male,student,no,True,1,2019,1991,coffee,False
1557,Carol Stream,IL,male,full-time,no,True,9,2018,1981,beer,False
1558,Deer Park,IL,female,unempolyed,yes,True,7,2019,1986,coffee,False
1559,Mokena,IL,female,full-time,yes,True,7,2018,1971,tea,False
1560,Palatine,IL,female,unempolyed,i don't know,True,5,2018,1976,coffee,False
1561,Glen Ellyn,IL,male,unempolyed,no,True,8,2019,1992,coffee,False
1562,Oswego,IL,male,part-time,no,True,9,2018,1985,coffee,False
1563,Chicago,IL,female,full-time,yes,True,2,2018,1976,coffee,False
1564,Batavia,IL,male,full-time,no,True,10,2018,1974,coffee,False
1565,Deer Park,IL,male,unempolyed,i don't know,True,6,2019,1981,coffee,False
1566,Naperville,IL,male,full-time,yes,False,6,2018,1974,soda,False
1567,Glen Ellyn,IL,male,full-time,yes,True,2,2018,1982,coffee,False
1568,St. Charles,IL,male,unempolyed,yes,True,11,2019,1987,beer,False
1569,West Chicago,IL,male,part-time,yes,True,1,2019,1984,coffee,False
1570,Chicago,IL,male,part-time,no,True,9,2019,1991,coffee,False
1572,Elgin,IL,female,full-time,yes,True,10,2018,1983,coffee,False
1573,Deer Park,IL,female,part-time,yes,True,6,2019,1988,soda,False
1574,Oswego,IL,female,student,yes,True,10,2019,1984,coffee,True
1575,Chicago,IL,male,full-time,yes,False,9,2019,1995,beer,False
1576,Aurora,IL,female,unempolyed,no,True,4,2019,1985,tea,False
1577,Streamwood,IL,female,full-time,yes,True,5,2018,1981,coffee,False
1578,Plainfield,IL,male,full-time,yes,True,5,2019,1988,coffee,False
1579,Palatine,IL,female,student,no,False,9,2019,1995,coffee,False
1580,Naperville,IL,male,part-time,yes,True,8,2018,1975,beer,False
1581,Willowbrook,IL,male,retired,yes,True,9,2018,1978,coffee,False
1582,Chicago,IL,male,student,yes,False,6,2019,1995,coffee,False
1583,Hoffman Estates,IL,female,part-time,yes,True,7,2019,1987,wine,False
1584,Plainfield,IL,female,student,no,True,10,2019,1995,coffee,False
1585,Plainfield,IL,female,unempolyed,yes,True,9,2019,1986,tea,False
1586,Chicago,IL,male,student,yes,False,9,2019,1990,beer,False
1587,West Dundee,IL,male,unempolyed,no,True,7,2018,1977,coffee,False
1588,Glen Ellyn,IL,female,student,yes,True,12,2019,1994,coffee,False
1589,Willowbrook,IL,female,unempolyed,no,True,5,2019,1991,soda,False
1590,Streamwood,IL,female,part-time,yes,True,5,2019,1983,tea,False
1591,West Chicago,IL,male,part-time,yes,True,7,2019,1990,beer,False
1592,West Dundee,IL,male,part-time,yes,True,7,2019,1989,beer,False
1593,Warrenville,IL,female,full-time,yes,True,7,2018,1976,tea,False
1594,Streamwood,IL,male,full-time,yes,True,10,2019,1985,coffee,False
1595,Willowbrook,IL,male,unempolyed,no,True,7,2019,1985,beer,False
1596,Schaumburg,IL,female,full-time,no,True,5,2018,1979,coffee,False
1597,Oswego,IL,female,part-time,yes,True,1,2019,1976,wine,False
1598,Plainfield,IL,male,unempolyed,yes,True,8,2019,1987,coffee,False
1599,Willowbrook,IL,female,student,yes,True,8,2019,1988,tea,False
1600,Batavia,IL,male,part-time,yes,True,10,2018,1977,tea,False
1601,West Chicago,IL,female,retired,yes,True,2,2019,1991,wine,True
1602,Streamwood,IL,male,full-time,yes,True,5,2018,1979,beer,False
1603,Streamwood,IL,female,retired,yes,True,4,2018,1981,tea,False
1604,Minooka,IL,female,full-time,yes,True,5,2019,1982,tea,False
1605,Inverness,IL,female,part-time,yes,True,5,2018,1968,tea,False
1606,Glen Ellyn,IL,male,full-time,no,True,10,2018,1981,soda,False
1607,Warrenville,IL,male,full-time,no,False,6,2018,1975,beer,False
1608,Chicago,IL,male,retired,i don't know,False,10,2019,1989,beer,False
1609,Chicago,IL,female,full-time,yes,False,6,2019,1986,wine,False
1610,Algonquin,IL,female,full-time,no,True,1,2018,1980,tea,False
1611,West Dundee,IL,male,part-time,yes,True,1,2018,1977,tea,False
1612,West Dundee,IL,female,student,yes,False,5,2019,1992,coffee,False
1613,Carol Stream,IL,male,part-time,yes,True,2,2018,1975,coffee,False
1614,Batavia,IL,female,unempolyed,yes,True,11,2018,1977,coffee,False
1615,Inverness,IL,female,part-time,no,True,8,2018,1978,coffee,False
1616,Inverness,IL,male,full-time,yes,True,2,2019,1990,coffee,False
1617,Hoffman Estates,IL,male,full-time,yes,True,7,2019,1987,beer,False
1618,Minooka,IL,male,unempolyed,i don't know,True,7,2019,1995,beer,False
1619,Carol Stream,IL,male,full-time,yes,True,4,2019,1982,tea,False
1620,Aurora,IL,male,full-time,yes,True,6,2018,1983,beer,False
1621,Barrington,IL,female,retired,yes,True,2,2019,1991,coffee,False
1622,Naperville,IL,female,full-time,yes,True,2,2019,1989,coffee,False
1623,Palatine,IL,male,full-time,yes,True,10,2019,1983,soda,False
1624,Carol Stream,IL,female,unempolyed,no,True,6,2018,1979,coffee,False
1625,Algonquin,IL,male,student,yes,True,11,2019,1987,beer,False
1626,Plainfield,IL,female,unempolyed,no,True,8,2019,1992,coffee,False
1627,Elgin,IL,female,full-time,no,True,2,2019,1985,coffee,False
1628,Mokena,IL,female,retired,no,True,3,2019,1980,tea,False
1629,Plainfield,IL,male,full-time,no,True,9,2019,1985,beer,False
1630,Schaumburg,IL,male,full-time,yes,True,8,2019,1982,tea,False
1631,Warrenville,IL,female,unempolyed,yes,True,2,2018,1980,soda,False
1632,Barrington,IL,male,full-time,no,False,12,2019,1989,beer,False
1633,Bolingbrook,IL,female,part-time,yes,True,5,2019,1981,wine,False
1634,West Dundee,IL,female,part-time,no,True,1,2019,1986,tea,False
1635,St. Charles,IL,female,full-time,yes,True,10,2019,1984,tea,False
1636,Aurora,IL,female,full-time,yes,True,8,2018,1991,soda,False
1637,Deer Park,IL,female,student,no,True,5,2019,1991,tea,False
1638,Naperville,IL,male,full-time,yes,True,3,2018,1973,coffee,False
1639,Streamwood,IL,female,full-time,i don't know,True,6,2019,1984,coffee,True
1640,Schaumburg,IL,female,full-time,no,True,12,2018,1982,coffee,False
1641,Romeoville,IL,female,full-time,no,False,2,2019,1992,soda,False
1642,West Chicago,IL,male,unempolyed,i don't know,True,7,2019,1990,coffee,False
1643,Barrington,IL,female,full-time,no,True,2,2018,1976,tea,False
1644,Aurora,IL,male,full-time,yes,True,8,2019,1982,coffee,False
1645,Wheaton,IL,female,full-time,yes,True,2,2018,1987,coffee,False
1646,Carol Stream,IL,female,full-time,yes,False,3,2018,1982,coffee,False
1647,Oswego,IL,male,full-time,yes,True,6,2018,1984,tea,False
1648,Glen Ellyn,IL,male,retired,no,True,1,2018,1981,coffee,False
1649,Glen Ellyn,IL,female,unempolyed,yes,True,5,2019,1981,coffee,False
1650,Oswego,IL,male,full-time,yes,False,7,2018,1974,tea,False
1651,Inverness,IL,male,full-time,no,True,7,2019,1990,tea,False
1652,Hoffman Estates,IL,female,full-time,no,True,5,2018,1984,coffee,False
1653,Elgin,IL,female,part-time,i don't know,True,5,2019,1990,wine,False
1654,Naperville,IL,female,student,no,False,10,2019,1987,coffee,False
1655,West Chicago,IL,female,part-time,yes,True,1,2019,1993,coffee,False
1656,Inverness,IL,male,student,yes,True,11,2019,1987,soda,False
1657,St. Charles,IL,female,unempolyed,yes,True,6,2018,1972,tea,False
1658,Batavia,IL,male,student,yes,True,4,2019,1987,beer,False
1659,Willowbrook,IL,female,unempolyed,yes,True,10,2019,1987,tea,False
1660,West Chicago,IL,male,part-time,yes,True,2,2018,1980,beer,False
1661,Bolingbrook,IL,female,full-time,yes,True,4,2018,1979,coffee,False
1662,Deer Park,IL,male,student,yes,True,9,2019,1989,beer,False
1663,Willowbrook,IL,female,full-time,i don't know,False,3,2018,1983,coffee,False
1664,Warrenville,IL,female,student,yes,True,7,2019,1994,tea,False
1665,Batavia,IL,male,student,yes,True,10,2019,1986,coffee,False
1666,Romeoville,IL,female,full-time,no,True,8,2019,1995,coffee,False
1667,Willowbrook,IL,female,part-time,no,True,3,2019,1990,coffee,False
1668,Plainfield,IL,male,student,no,True,2,2019,1994,beer,False
1669,Romeoville,IL,male,full-time,no,True,7,2019,1983,beer,False
1670,Streamwood,IL,female,full-time,yes,True,10,2019,1986,beer,True
1671,Hoffman Estates,IL,female,full-time,yes,True,2,2019,1989,coffee,False
1672,Plainfield,IL,male,part-time,yes,True,5,2019,1992,coffee,False
1673,Elgin,IL,female,student,yes,True,4,2019,1993,coffee,False
1674,Naperville,IL,female,unempolyed,yes,False,7,2018,1982,wine,False
1675,Carol Stream,IL,male,full-time,yes,True,5,2019,1986,coffee,False
1676,Warrenville,IL,male,unempolyed,no,True,1,2019,1995,soda,False
1677,Inverness,IL,female,part-time,yes,True,3,2019,1989,coffee,False
1678,Romeoville,IL,male,unempolyed,yes,True,10,2018,1966,beer,False
1679,Aurora,IL,female,full-time,yes,True,2,2018,1973,coffee,False
1680,Willowbrook,IL,male,student,yes,True,1,2018,1983,coffee,False
1681,Minooka,IL,female,full-time,yes,True,8,2019,1984,tea,False
1682,Glen Ellyn,IL,male,student,i don't know,True,10,2018,1985,beer,False
1683,Aurora,IL,female,full-time,no,True,12,2018,1980,coffee,False
1684,Streamwood,IL,male,part-time,yes,True,3,2018,1980,tea,False
1685,Hoffman Estates,IL,female,full-time,no,True,3,2019,1988,wine,False
1686,Plainfield,IL,female,retired,yes,True,3,2018,1981,wine,False
1687,Wheaton,IL,male,student,yes,True,2,2019,1994,soda,False
1688,Wheaton,IL,female,full-time,yes,True,10,2019,1988,coffee,False
1689,Naperville,IL,female,full-time,no,True,1,2019,1988,wine,False
1690,Deer Park,IL,female,part-time,no,True,11,2019,1990,coffee,True
1691,Hoffman Estates,IL,male,part-time,no,True,10,2018,1977,coffee,False
1692,Naperville,IL,female,unempolyed,yes,True,2,2018,1976,coffee,False
1693,Carol Stream,IL,male,full-time,yes,True,5,2019,1989,beer,False
1694,Deer Park,IL,female,full-time,yes,True,10,2018,1983,wine,False
1695,Streamwood,IL,male,unempolyed,no,True,9,2018,1978,coffee,False
1696,Barrington,IL,male,unempolyed,yes,True,9,2019,1986,soda,False
1697,West Dundee,IL,male,unempolyed,yes,False,10,2019,1993,coffee,False
1698,Willowbrook,IL,female,retired,yes,False,5,2018,1980,coffee,False
1699,Palatine,IL,female,unempolyed,no,False,9,2018,1981,coffee,False
1700,Mokena,IL,female,student,yes,True,4,2019,1996,coffee,False
1701,St. Charles,IL,male,full-time,yes,True,12,2019,1992,soda,False
1702,Plainfield,IL,male,full-time,no,True,4,2018,1976,coffee,False
1703,Deer Park,IL,male,full-time,no,True,1,2019,1990,beer,False
1704,Aurora,IL,female,unempolyed,no,True,2,2018,1976,coffee,False
1705,Aurora,IL,female,full-time,no,True,9,2018,1977,coffee,False
1706,Plainfield,IL,female,full-time,yes,True,6,2018,1975,wine,False
1707,Inverness,IL,female,full-time,yes,True,4,2018,1976,tea,False
1708,Elgin,IL,female,unempolyed,yes,True,7,2019,1991,tea,False
1709,Streamwood,IL,male,student,yes,True,7,2019,1990,coffee,False
1710,Romeoville,IL,female,student,yes,True,4,2019,1994,coffee,False
1711,Glen Ellyn,IL,male,part-time,yes,False,6,2019,1979,beer,False
1712,Deer Park,IL,female,full-time,yes,True,1,2019,1987,wine,False
1713,Oswego,IL,male,full-time,yes,True,1,2018,1983,coffee,False
1714,West Dundee,IL,female,part-time,no,True,7,2019,1982,wine,False
1715,Schaumburg,IL,male,part-time,no,True,8,2018,1986,tea,False
1716,Wheaton,IL,male,full-time,yes,True,5,2018,1980,coffee,False
1717,Plainfield,IL,male,full-time,yes,False,6,2018,1969,beer,False
1718,Naperville,IL,male,unempolyed,yes,True,4,2018,1988,beer,False
1719,Mokena,IL,male,part-time,no,True,2,2018,1981,tea,False
1720,West Chicago,IL,female,student,yes,True,10,2019,1987,tea,False
1721,Mokena,IL,female,part-time,yes,True,7,2019,1993,wine,False
1722,Palatine,IL,female,unempolyed,yes,True,6,2018,1981,tea,False
1723,Glen Ellyn,IL,female,full-time,yes,True,8,2018,1982,coffee,False
1724,Schaumburg,IL,female,unempolyed,yes,False,1,2019,1984,coffee,False
1725,West Chicago,IL,female,full-time,yes,True,7,2019,1990,wine,False
1726,Batavia,IL,male,student,no,True,9,2019,1989,soda,False
1727,Warrenville,IL,female,full-time,yes,True,8,2019,1991,coffee,False
1728,Carol Stream,IL,female,unempolyed,no,True,3,2018,1991,coffee,False
1729,St. Charles,IL,male,part-time,no,False,1,2019,1991,coffee,False
1730,Inverness,IL,male,unempolyed,yes,True,7,2018,1976,coffee,False
1731,Bolingbrook,IL,female,full-time,no,True,7,2019,1984,wine,True
1732,Barrington,IL,male,unempolyed,no,True,4,2018,1970,coffee,False
1733,Oswego,IL,female,student,no,True,6,2019,1989,soda,False
1734,Aurora,IL,female,student,yes,True,12,2019,1986,tea,False
1735,Romeoville,IL,female,unempolyed,yes,True,11,2019,1989,wine,False
1736,St. Charles,IL,female,unempolyed,yes,True,9,2019,1984,coffee,False
1737,Inverness,IL,female,full-time,yes,True,6,2018,1974,coffee,False
1738,Barrington,IL,female,student,yes,False,3,2019,1991,wine,False
1739,Deer Park,IL,female,full-time,no,True,5,2018,1972,coffee,False
1740,Schaumburg,IL,female,student,yes,True,7,2019,1988,tea,False
1741,Mokena,IL,female,part-time,i don't know,True,5,2018,1978,coffee,False
1742,Streamwood,IL,female,unempolyed,yes,True,7,2019,1987,wine,False
1743,Elgin,IL,male,unempolyed,yes,True,10,2018,1975,coffee,False
1744,West Chicago,IL,female,full-time,no,True,8,2018,1980,tea,False
1745,Batavia,IL,male,student,yes,True,9,2019,1994,coffee,False
1746,Batavia,IL,female,part-time,yes,True,9,2018,1974,wine,False
1747,Batavia,IL,female,student,no,True,3,2019,1987,coffee,False
